ds,Close,High,Low,Open,Adj Close,Volume
12-12-1980,0.513393,0.515625,0.513393,0.513393,0.406782,117258400
15-12-1980,0.486607,0.488839,0.486607,0.488839,0.385558,43971200
16-12-1980,0.450893,0.453125,0.450893,0.453125,0.35726,26432000
17-12-1980,0.462054,0.464286,0.462054,0.462054,0.366103,21610400
18-12-1980,0.475446,0.477679,0.475446,0.475446,0.376715,18362400
19-12-1980,0.504464,0.506696,0.504464,0.504464,0.399707,12157600
22-12-1980,0.529018,0.53125,0.529018,0.529018,0.419162,9340800
23-12-1980,0.551339,0.553571,0.551339,0.551339,0.436848,11737600
24-12-1980,0.580357,0.582589,0.580357,0.580357,0.45984,12000800
26-12-1980,0.633929,0.636161,0.633929,0.633929,0.502287,13893600
29-12-1980,0.642857,0.645089,0.642857,0.642857,0.509361,23290400
30-12-1980,0.627232,0.629464,0.627232,0.629464,0.496981,17220000
31-12-1980,0.609375,0.611607,0.609375,0.611607,0.482832,8937600
02-01-1981,0.616071,0.620536,0.616071,0.616071,0.488138,5415200
05-01-1981,0.602679,0.604911,0.602679,0.604911,0.477526,8932000
06-01-1981,0.575893,0.578125,0.575893,0.578125,0.456303,11289600
07-01-1981,0.551339,0.553571,0.551339,0.553571,0.436848,13921600
08-01-1981,0.540179,0.542411,0.540179,0.542411,0.428005,9956800
09-01-1981,0.569196,0.571429,0.569196,0.569196,0.450997,5376000
12-01-1981,0.564732,0.569196,0.564732,0.569196,0.44746,5924800
13-01-1981,0.544643,0.546875,0.544643,0.546875,0.431542,5762400
14-01-1981,0.546875,0.549107,0.546875,0.546875,0.433311,3572800
15-01-1981,0.558036,0.5625,0.558036,0.558036,0.442154,3516800
16-01-1981,0.553571,0.555804,0.553571,0.555804,0.438617,3348800
19-01-1981,0.587054,0.589286,0.587054,0.587054,0.465146,10393600
20-01-1981,0.569196,0.571429,0.569196,0.571429,0.450997,7520800
21-01-1981,0.580357,0.584821,0.580357,0.580357,0.45984,3976000
22-01-1981,0.587054,0.591518,0.587054,0.587054,0.465146,8887200
23-01-1981,0.584821,0.589286,0.584821,0.587054,0.463377,2805600
26-01-1981,0.575893,0.578125,0.575893,0.578125,0.456303,6160000
27-01-1981,0.571429,0.575893,0.571429,0.575893,0.452766,5924800
28-01-1981,0.553571,0.555804,0.553571,0.555804,0.438617,7039200
29-01-1981,0.533482,0.535714,0.533482,0.535714,0.422699,10976000
30-01-1981,0.504464,0.508929,0.504464,0.508929,0.399707,11547200
02-02-1981,0.475446,0.477679,0.475446,0.477679,0.376715,5941600
03-02-1981,0.493304,0.495536,0.493304,0.493304,0.390864,4788000
04-02-1981,0.511161,0.513393,0.511161,0.511161,0.405013,6966400
05-02-1981,0.511161,0.515625,0.511161,0.511161,0.405013,1982400
06-02-1981,0.513393,0.515625,0.513393,0.513393,0.406782,3466400
09-02-1981,0.486607,0.491071,0.486607,0.491071,0.385558,4188800
10-02-1981,0.486607,0.488839,0.486607,0.486607,0.385558,4586400
11-02-1981,0.470982,0.473214,0.470982,0.473214,0.373178,3460800
12-02-1981,0.466518,0.46875,0.466518,0.46875,0.369641,3640000
13-02-1981,0.455357,0.459821,0.455357,0.459821,0.360798,2788800
17-02-1981,0.466518,0.46875,0.466518,0.466518,0.369641,3068800
18-02-1981,0.486607,0.491071,0.486607,0.486607,0.385558,4810400
19-02-1981,0.457589,0.459821,0.457589,0.459821,0.362566,5577600
20-02-1981,0.433036,0.435268,0.433036,0.435268,0.343111,6092800
23-02-1981,0.439732,0.441964,0.439732,0.439732,0.348417,3528000
24-02-1981,0.424107,0.428571,0.424107,0.428571,0.336037,4244800
25-02-1981,0.450893,0.453125,0.450893,0.450893,0.35726,4872000
